provider,title,tags,rating,reviews
University of Pennsylvania,Business Analytics,Business Analysis& Data Analysis& Probability &amp; Statistics& Statistical Analysis& General Statistics& Research and Design& Forecasting& Strategy and Operations& Correlation And Dependence& Financial Analysis& Accounting& Human Resources& Marketing& Operational Analysis& Operations Management& Operations Research& Probability Distribution& Spreadsheet Software& Supply Chain and Logistics& Customer Analysis& Financial Accounting& Market Analysis& Market Research& Basic Descriptive Statistics& Exploratory Data Analysis& Finance& People Management& Performance Management& Regulations and Compliance& Statistical Tests& Talent Management& Collaboration& Communication& Critical Thinking& Data Management& Data Mining& Data Model& Data Visualization& Generally Accepted Accounting Principles (GAAP)& HR Tech& Leadership Development& Leadership and Management& MarTech& Marketing Management& Media Strategy &amp; Planning& Microsoft Excel& Organizational Development& Plot (Graphics)& Process Analysis& Recruitment& Statistical Programming& Statistical Visualization& Applied Mathematics& Big Data& Business Psychology& Computational Logic& Computer Programming& Computer Programming Tools& Data Analysis Software& Data Structures& Decision Making& Entrepreneurship& Estimation& Mathematics& Network Analysis& People Analysis& People Development& Regression& Sales& Strategy& Theoretical Computer Science,4.6,(17.1k reviews)
Google Cloud,Preparing for Google Cloud Certification: Cloud Architect,Cloud Computing& Google Cloud Platform& Cloud Platforms& Web Development& Cloud Applications& Cloud Storage& Cloud Load Balancing& Full-Stack Web Development& Information Technology& Computer Networking& Computer Architecture& Kubernetes& Cloud Infrastructure& Cloud Management& Strategy and Operations& Distributed Computing Architecture& Security Engineering& Cloud Engineering& Network Security& Project Management& Cloud-Based Integration& Google App Engine& Network Architecture& Systems Design& Billing &amp; Invoicing& Change Management& Computer Security Models& Data Management& Databases& DevOps& Finance& Leadership and Management& Other Cloud Platforms and Tools& SQL& Software Engineering& Software Testing& Cyberattacks& Operations Management& Software As A Service& Big Data& Contract Management& Entrepreneurship& Extract& Transform& Load& Machine Learning Software& Network Model& Software Security& Statistical Programming& System Security,4.7,(56.7k reviews)
Stanford University,AI in Healthcare,Machine Learning& Applied Machine Learning& Data Management& Finance& Leadership and Management& Clinical Data Management& Data Analysis& Data Mining& Deep Learning& Machine Learning Algorithms& Payments& Regulations and Compliance& Risk Management& Accounting& Marketing,4.7,(970 reviews)
Google Cloud,Preparing for Google Cloud Certification: Cloud Engineer,Cloud Computing& Google Cloud Platform& Web Development& Full-Stack Web Development& Information Technology& Cloud Storage& Computer Architecture& Cloud Load Balancing& Kubernetes& Computer Networking& Cloud Engineering& Cloud Infrastructure& Cloud Management& Cloud Platforms& Distributed Computing Architecture& Google App Engine& Network Architecture& Systems Design& Cloud Applications& Cloud-Based Integration& Data Management& Databases& Operations Management& Other Cloud Platforms and Tools& SQL& Software As A Service& Strategy and Operations& Big Data& Contract Management& Entrepreneurship& Extract& Transform& Load& Leadership and Management& Machine Learning Software& Network Model& Network Security& Security Engineering& Software Security& Statistical Programming& System Security,4.7,(56.5k reviews)
Google Cloud,Preparing for Google Cloud Certification: Cloud Data Engineer,Cloud Computing& Computer Architecture& Data Management& Google Cloud Platform& Cloud Platforms& Machine Learning& Big Data& Distributed Computing Architecture& Hardware Design& SQL& Information Technology& Data Science& Apache& Cloud Storage& Extract& Transform& Load& Cloud Engineering& Cloud Management& Databases& Full-Stack Web Development& Python Programming& Web Development& Computer Programming& Statistical Programming& Applied Machine Learning& Computer Science& Computer Networking& Data Analysis& Data Analysis Software& Data Visualization& Data Warehousing& Database Administration& Database Application& Database Theory& Kubernetes& Network Architecture& Operating Systems& Software Framework& System Programming& Theoretical Computer Science& Bayesian Statistics& Business Psychology& Cloud Applications& Cloud Infrastructure& Computational Thinking& Data Architecture& Data Model& Data Structures& Deep Learning& Entrepreneurship& Exploratory Data Analysis& Feature Engineering& General Statistics& Machine Learning Algorithms& Machine Learning Software& Probability &amp; Statistics& Tensorflow,4.6,(17.6k reviews)
Google Cloud,Architecting with Google Compute Engine,Cloud Computing& Google Cloud Platform& Web Development& Cloud Storage& Full-Stack Web Development& Cloud Load Balancing& Cloud Applications& Computer Architecture& Computer Networking& Cloud Management& Cloud Infrastructure& Distributed Computing Architecture& Cloud Engineering& Cloud-Based Integration& Google App Engine& Network Architecture& Systems Design& Data Management& Databases& Other Cloud Platforms and Tools& SQL& Cloud Platforms& Cyberattacks& Kubernetes& Operations Management& Security Engineering& Software As A Service& Strategy and Operations& Big Data& Contract Management& DevOps& Entrepreneurship& Extract& Transform& Load& Leadership and Management& Machine Learning Software& Network Model& Network Security& Software Security& Statistical Programming& System Security,4.7,(55.7k reviews)
University of Pennsylvania,Introduction to Programming with Python and Java,Computer Programming& Python Programming& Statistical Programming& Java Programming& Mobile Development& Data Analysis& Programming Principles& Theoretical Computer Science& Data Visualization& Mathematics& Data Management& Data Structures& Software Engineering& Software Testing& Data Mining& Plot (Graphics)& Computational Thinking& Entrepreneurship& Leadership and Management& Mathematical Theory &amp; Analysis& Problem Solving& Research and Design& Data Science,4.4,(1.1k reviews)
Google Cloud,Data Engineering, Big Data, and Machine Learning on GCP,Cloud Computing& Data Management& Computer Architecture& Cloud Platforms& Google Cloud Platform& Big Data& Distributed Computing Architecture& Machine Learning& SQL& Apache& Data Science& Hardware Design& Extract& Transform& Load& Cloud Storage& Full-Stack Web Development& Web Development& Databases& Information Technology& Python Programming& Statistical Programming& Computer Networking& Computer Programming& Data Analysis& Data Analysis Software& Data Visualization& Data Warehousing& Database Administration& Database Application& Database Theory& Kubernetes& Network Architecture& Operating Systems& Software Framework& System Programming& Theoretical Computer Science& Applied Machine Learning& Bayesian Statistics& Business Psychology& Cloud Applications& Cloud Infrastructure& Computational Thinking& Data Architecture& Data Model& Data Structures& Deep Learning& Entrepreneurship& Exploratory Data Analysis& Feature Engineering& General Statistics& Machine Learning Algorithms& Machine Learning Software& Probability &amp; Statistics& Tensorflow,4.6,(17.3k reviews)
Johns Hopkins University,Data Science,R Programming& Data Analysis& Statistical Programming& Data Science& General Statistics& Statistical Analysis& Probability &amp; Statistics& Statistical Tests& Machine Learning& Exploratory Data Analysis& Basic Descriptive Statistics& Machine Learning Software& Linear Algebra& Bayesian Statistics& Correlation And Dependence& Econometrics& Estimation& Regression& Data Visualization Software& Software Visualization& Statistical Visualization& Probability Distribution& Theoretical Computer Science& Data Visualization& Interactive Data Visualization& Natural Language Processing& Plot (Graphics)& Big Data& Computer Programming& Computer Programming Tools& Data Structures& Experiment& Machine Learning Algorithms& Software Engineering Tools& Spreadsheet Software& Algorithms& Application Development& Applied Machine Learning& Business Analysis& Data Management& Extract& Transform& Load& Knitr,4.5,(49.8k reviews)
Johns Hopkins University,Data Science: Foundations using R,R Programming& Data Analysis& Data Science& Exploratory Data Analysis& Statistical Programming& Data Visualization Software& Software Visualization& Statistical Visualization& Basic Descriptive Statistics& General Statistics& Big Data& Computer Programming& Computer Programming Tools& Data Structures& Experiment& Linear Algebra& Machine Learning Software& Probability &amp; Statistics& Probability Distribution& Software Engineering Tools& Spreadsheet Software& Statistical Tests& Application Development& Business Analysis& Data Management& Data Visualization& Extract& Transform& Load& Knitr& Plot (Graphics),4.6,(47.2k reviews)
Google Cloud,Architecting with Google Kubernetes Engine,Cloud Computing& Kubernetes& Google Cloud Platform& Cloud Platforms& Information Technology& Cloud Engineering& Web Development& Full-Stack Web Development& Computer Architecture& Cloud Storage& Distributed Computing Architecture& Cloud Infrastructure& Google App Engine& Data Management& Databases& Cloud Load Balancing& Computer Networking& Network Security& Operations Management& Software As A Service& Strategy and Operations& Big Data& Cloud Applications& Cloud Management& Extract& Transform& Load& Machine Learning Software& Network Model& SQL& Security Engineering,4.7,(47.8k reviews)
